City Name,County Name, Total Revenue , Local Revenue ,% Local Revenue, Total Revenue per capita , Total Population ,Total Pop. MOE,,,,,,,
Atwater,Merced," 92,075,660 "," 87,739,826 ",95.29," 3,298 "," 27,922 ",49,,,,,,,
Dos Palos,Merced," 4,077,678 "," 3,041,981 ",74.72, 825 ," 4,940 ",20,,,,,,,
Gustine,Merced," 5,283,736 "," 4,458,767 ",84.39, 963 ," 5,484 ",23,,,,,,,
Livingston,Merced," 13,342,915 "," 10,811,260 ",81.03," 1,034 "," 12,899 ",47,,,,,,,
Los Banos,Merced," 33,218,878 "," 29,163,790 ",87.80, 942 ," 35,252 ",32,,,,,,,
Merced,Merced," 105,319,264 "," 87,505,712 ",83.09," 1,348 "," 78,111 ",51,,,,,,,
Alturas,Modoc," 3,503,938 "," 2,975,950 ",84.93," 1,246 "," 2,813 ",15,,,,,,,
Mammoth Lakes,Mono," 24,857,766 "," 22,251,732 ",89.52," 3,076 "," 8,081 ",31,,,,,,,
Carmel-By-The-Sea,Monterey," 20,437,284 "," 19,889,560 ",98.87," 5,482 "," 3,728 ",16,,,,,,,
Del Rey Oaks,Monterey," 1,796,745 "," 1,617,829 ",90.04," 1,036 "," 1,734 ",159,,,,,,,
Gonzales,Monterey," 8,168,356 "," 6,863,434 ",84.02," 1,012 "," 8,074 ",21,,,,,,,
Greenfield,Monterey," 10,083,016 "," 8,625,871 ",85.55, 636 ," 15,864 ",37,,,,,,,
King City,Monterey," 7,200,564 "," 5,402,006 ",76.81, 570 ," 12,629 ",48,,,,,,,
Marina,Monterey," 23,457,818 "," 19,903,714 ",86.12," 1,195 "," 19,636 ",38,,,,,,,
Monterey,Monterey," 87,909,495 "," 84,285,624 ",96.19," 3,155 "," 27,861 ",33,,,,,,,
Pacific Grove,Monterey," 23,777,233 "," 22,244,936 ",94.28," 1,586 "," 14,995 ",25,,,,,,,
Salinas,Monterey," 111,005,497 "," 90,933,407 ",81.92, 746 ," 148,780 ",67,,,,,,,
Sand City,Monterey," 6,321,531 "," 5,742,679 ",90.84," 21,649 ", 292 ,116,,,,,,,
Seaside,Monterey," 24,859,840 "," 22,129,020 ",89.02, 759 ," 32,735 ",49,,,,,,,
Soledad,Monterey," 15,991,775 "," 14,621,655 ",91.43, 626 ," 25,548 ",28,,,,,,,
American Canyon,Napa," 26,566,269 "," 24,518,320 ",92.29," 1,437 "," 18,489 ",71,,,,,,,
Calistoga,Napa," 13,244,862 "," 11,389,528 ",85.99," 2,567 "," 5,159 ",20,,,,,,,
Napa,Napa," 145,121,380 "," 125,325,413 ",86.65," 1,896 "," 76,560 ",67,,,,,,,
St. Helena,Napa," 16,801,681 "," 15,707,773 ",94.64," 2,878 "," 5,838 ",25,,,,,,,
Yountville,Napa," 10,140,318 "," 8,709,806 ",89.16," 3,446 "," 2,943 ",18,,,,,,,
Grass Valley,Nevada," 20,134,356 "," 18,231,766 ",90.55," 1,574 "," 12,793 ",26,,,,,,,
Nevada City,Nevada," 7,661,035 "," 5,803,096 ",75.75," 2,487 "," 3,081 ",23,,,,,,,
Truckee,Nevada," 31,973,907 "," 28,010,464 ",87.96," 1,997 "," 16,009 ",58,,,,,,,
Aliso Viejo,Orange," 18,784,151 "," 15,371,482 ",86.02, 399 ," 47,037 ",46,,,,,,,
Anaheim,Orange," 1,022,757,247 "," 869,110,494 ",87.00," 3,052 "," 335,057 ",120,,,,,,,
Brea,Orange," 83,596,968 "," 77,097,240 ",95.13," 2,153 "," 38,837 ",57,,,,,,,
Buena Park,Orange," 81,676,380 "," 76,195,696 ",93.49," 1,018 "," 80,214 ",60,,,,,,,
Costa Mesa,Orange," 107,721,080 "," 97,441,199 ",90.53, 981 ," 109,796 ",55,,,,,,,
Cypress,Orange," 38,758,870 "," 34,689,075 ",91.59, 814 ," 47,610 ",55,,,,,,,
Dana Point,Orange," 28,187,174 "," 26,026,393 ",92.87, 841 ," 33,510 ",66,,,,,,,
Fountain Valley,Orange," 55,617,974 "," 51,844,468 ",93.66," 1,007 "," 55,209 ",38,,,,,,,
Fullerton,Orange," 143,415,035 "," 122,865,053 ",85.67," 1,070 "," 134,079 ",71,,,,,,,
Garden Grove,Orange," 171,535,287 "," 159,110,811 ",95.09," 1,008 "," 170,148 ",123,,,,,,,
Huntington Beach,Orange," 292,487,197 "," 273,676,216 ",94.82," 1,541 "," 189,744 ",80,,,,,,,
Irvine,Orange," 222,365,188 "," 183,347,137 ",89.09," 1,084 "," 205,057 ",60,,,,,,,
La Habra,Orange,<Null>,<Null>,<Null>, <Null> ," 60,117 ",118,,,,,,,
